1 Periodo,2 CUO,3 CORRELATIVO ,4 Tipo Documento ,5 Nro Documento ,6 Fecha Emision , 7 Apellidos Nombres RazonSocial , 8 Monto , 9 Estado Operacion , 10 cuenta , 11 Año ,
2023/08,73258,M73258,- None -,- None -,01/08/2023,- None -,1 500,1,4111101,2023,
2023/08,73259,M73259,- None -,- None -,15/08/2023,- None -,3 400,1,4114101,2023,
2023/09,73260,M73260,- None -,- None -,04/09/2023,- None -,2 300,1,4115101,2023,
2023/08,76249,M76249,- None -,- None -,01/08/2023,- None -,-2 951,1,4111101,2023,
2023/08,76250,M76250,- None -,- None -,02/08/2023,- None -,-670,1,4111101,2023,
2023/08,76251,M76251,- None -,- None -,03/08/2023,- None -,-1 405,1,4111101,2023,
2023/08,76252,M76252,- None -,- None -,04/08/2023,- None -,-1 546,1,4111101,2023,
2023/08,76253,M76253,- None -,- None -,05/08/2023,- None -,-2 873,1,4111101,2023,
2023/08,76254,M76254,- None -,- None -,06/08/2023,- None -,-1 640,1,4111101,2023,
2023/08,76255,M76255,- None -,- None -,07/08/2023,- None -,-3 361,1,4111101,2023,
2023/08,76256,M76256,- None -,- None -,08/08/2023,- None -,-3 410,1,4111101,2023,
2023/08,76257,M76257,- None -,- None -,09/08/2023,- None -,-1 974,1,4111101,2023,
2023/08,76258,M76258,- None -,- None -,10/08/2023,- None -,-3 414,1,4111101,2023,
2023/08,76259,M76259,- None -,- None -,01/08/2023,- None -,-1 263,1,4111101,2023,
2023/08,76260,M76260,- None -,- None -,02/08/2023,- None -,-2 629,1,4111101,2023,
2023/08,76261,M76261,- None -,- None -,03/08/2023,- None -,-1 510,1,4111101,2023,
2023/08,76262,M76262,- None -,- None -,04/08/2023,- None -,-2 756,1,4111101,2023,
2023/08,76263,M76263,- None -,- None -,05/08/2023,- None -,-3 205,1,4111101,2023,
2023/08,76264,M76264,- None -,- None -,06/08/2023,- None -,-2 539,1,4111101,2023,
2023/08,76265,M76265,- None -,- None -,07/08/2023,- None -,-1 299,1,4111101,2023,
2023/08,76266,M76266,- None -,- None -,08/08/2023,- None -,-1 227,1,4111101,2023,
2023/08,76267,M76267,- None -,- None -,09/08/2023,- None -,-711,1,4111101,2023,
2023/08,76268,M76268,- None -,- None -,10/08/2023,- None -,-2 433,1,4111101,2023,
2023/08,76269,M76269,- None -,- None -,01/08/2023,- None -,-845,1,4111101,2023,
2023/08,76270,M76270,- None -,- None -,02/08/2023,- None -,-682,1,4111101,2023,
2023/08,76271,M76271,- None -,- None -,03/08/2023,- None -,-2 099,1,4111101,2023,
2023/08,76272,M76272,- None -,- None -,04/08/2023,- None -,-2 289,1,4111101,2023,
2023/08,76273,M76273,- None -,- None -,05/08/2023,- None -,-1 703,1,4111101,2023,
2023/08,76274,M76274,- None -,- None -,06/08/2023,- None -,-1 668,1,4111101,2023,
2023/08,76275,M76275,- None -,- None -,07/08/2023,- None -,-2 725,1,4111101,2023,
2023/08,76276,M76276,- None -,- None -,08/08/2023,- None -,-3 417,1,4111101,2023,
2023/08,76277,M76277,- None -,- None -,09/08/2023,- None -,-1 937,1,4111101,2023,
2023/08,76278,M76278,- None -,- None -,10/08/2023,- None -,-1 563,1,4111101,2023,
2023/08,76279,M76279,- None -,- None -,01/08/2023,- None -,-2 199,1,4111101,2023,
2023/08,76280,M76280,- None -,- None -,02/08/2023,- None -,-3 381,1,4111101,2023,
2023/08,76281,M76281,- None -,- None -,03/08/2023,- None -,-2 767,1,4111101,2023,
2023/08,76282,M76282,- None -,- None -,04/08/2023,- None -,-618,1,4111101,2023,
2023/08,76283,M76283,- None -,- None -,05/08/2023,- None -,-814,1,4111101,2023,
2023/08,76284,M76284,- None -,- None -,06/08/2023,- None -,-1 744,1,4111101,2023,
2023/08,76285,M76285,- None -,- None -,07/08/2023,- None -,-886,1,4111101,2023,
2023/08,76286,M76286,- None -,- None -,08/08/2023,- None -,-996,1,4111101,2023,
2023/08,76287,M76287,- None -,- None -,09/08/2023,- None -,-795,1,4111101,2023,
2023/08,76288,M76288,- None -,- None -,10/08/2023,- None -,-3 413,1,4111101,2023,
2023/08,76289,M76289,- None -,- None -,01/08/2023,- None -,-2 235,1,4111101,2023,
2023/08,76290,M76290,- None -,- None -,02/08/2023,- None -,-1 307,1,4111101,2023,
2023/08,76291,M76291,- None -,- None -,03/08/2023,- None -,-2 895,1,4111101,2023,
2023/08,76292,M76292,- None -,- None -,04/08/2023,- None -,-2 373,1,4111101,2023,
2023/08,76293,M76293,- None -,- None -,05/08/2023,- None -,-1 747,1,4111101,2023,
2023/08,76294,M76294,- None -,- None -,06/08/2023,- None -,-1 358,1,4111101,2023,
2023/08,76295,M76295,- None -,- None -,07/08/2023,- None -,-3 000,1,4111101,2023,
2023/08,76296,M76296,- None -,- None -,08/08/2023,- None -,-3 386,1,4111101,2023,
2023/08,76297,M76297,- None -,- None -,09/08/2023,- None -,-1 526,1,4111101,2023,
2023/08,76298,M76298,- None -,- None -,10/08/2023,- None -,-2 449,1,4111101,2023,
2023/08,76299,M76299,- None -,- None -,01/08/2023,- None -,-2 669,1,4111101,2023,
2023/08,76300,M76300,- None -,- None -,02/08/2023,- None -,-2 365,1,4111101,2023,
2023/08,76301,M76301,- None -,- None -,03/08/2023,- None -,-1 750,1,4111101,2023,
2023/08,76302,M76302,- None -,- None -,04/08/2023,- None -,-1 867,1,4111101,2023,
2023/08,76303,M76303,- None -,- None -,05/08/2023,- None -,-2 792,1,4111101,2023,
2023/08,76304,M76304,- None -,- None -,06/08/2023,- None -,-3 072,1,4111101,2023,
2023/08,76305,M76305,- None -,- None -,07/08/2023,- None -,-1 130,1,4111101,2023,
2023/08,76306,M76306,- None -,- None -,08/08/2023,- None -,-1 459,1,4111101,2023,
2023/08,76307,M76307,- None -,- None -,09/08/2023,- None -,-2 715,1,4111101,2023,
2023/08,76308,M76308,- None -,- None -,10/08/2023,- None -,-1 111,1,4111101,2023,
2023/08,76309,M76309,- None -,- None -,01/08/2023,- None -,-2 153,1,4111101,2023,
2023/08,76310,M76310,- None -,- None -,02/08/2023,- None -,-646,1,4111101,2023,
2023/08,76311,M76311,- None -,- None -,03/08/2023,- None -,-1 396,1,4111101,2023,
2023/08,76312,M76312,- None -,- None -,04/08/2023,- None -,-1 772,1,4111101,2023,
2023/08,76313,M76313,- None -,- None -,05/08/2023,- None -,-1 866,1,4111101,2023,
2023/08,76314,M76314,- None -,- None -,06/08/2023,- None -,-822,1,4111101,2023,
2023/08,76315,M76315,- None -,- None -,07/08/2023,- None -,-1 629,1,4111101,2023,
2023/08,76316,M76316,- None -,- None -,08/08/2023,- None -,-3 489,1,4111101,2023,
2023/08,76317,M76317,- None -,- None -,09/08/2023,- None -,-2 466,1,4111101,2023,
2023/08,76318,M76318,- None -,- None -,10/08/2023,- None -,-2 463,1,4111101,2023,
2023/08,76319,M76319,- None -,- None -,01/08/2023,- None -,-1 396,1,4111101,2023,
2023/08,76320,M76320,- None -,- None -,02/08/2023,- None -,-2 620,1,4111101,2023,
2023/08,76321,M76321,- None -,- None -,03/08/2023,- None -,-1 682,1,4111101,2023,
2023/08,76322,M76322,- None -,- None -,04/08/2023,- None -,-1 194,1,4111101,2023,
2023/08,76323,M76323,- None -,- None -,05/08/2023,- None -,-1 780,1,4111101,2023,
2023/08,76324,M76324,- None -,- None -,06/08/2023,- None -,-2 305,1,4111101,2023,
2023/08,76325,M76325,- None -,- None -,07/08/2023,- None -,-2 116,1,4111101,2023,
2023/08,76326,M76326,- None -,- None -,08/08/2023,- None -,-2 978,1,4111101,2023,
2023/08,76327,M76327,- None -,- None -,09/08/2023,- None -,-1 102,1,4111101,2023,
2023/08,76328,M76328,- None -,- None -,10/08/2023,- None -,-722,1,4111101,2023,
2023/08,76329,M76329,- None -,- None -,01/08/2023,- None -,-2 595,1,4111101,2023,
